# name
 temporary nfa
# initial
0
# finals
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567
# map
0,㨄,1
0,㰈,2
0,䨑,3
0,㘜,4
0,䀢,5
0,㨦,6
0,㘨,7
0,㑃,8
0,䩎,9
0,䁐,10
0,䡓,11
0,䱖,12
0,䱸,13
0,㢢,14
0,㓊,15
0,㫊,16
0,䋎,17
0,䳢,18
0,䳶,19
0,㳷,20
0,㳸,21
0,䬌,22
0,㼗,23
0,䄩,24
0,䬸,25
0,㕀,26
0,䭉,27
0,㵊,28
0,䵋,29
0,䕥,30
0,䕫,31
0,䅬,32
0,䭷,33
0,㝾,34
0,䎁,35
0,㾇,30
0,㾸,36
0,䇕,37
0,㯡,38
0,㿣,39
0,䏫,40
0,䗻,41
0,䏾,42
1,㓊,43
1,㤢,44
1,㮮,45
2,㰈,70
2,㘜,70
3,䨑,73
4,㘨,78
4,㸪,79
4,㝾,80
5,䀢,95
5,㕀,96
6,㣆,100
6,㮮,101
7,㑲,119
7,䦳,120
8,㓊,126
8,䓸,127
9,㫈,130
9,䄩,131
9,䔶,132
9,㞈,133
9,䏠,134
10,䁐,180
11,䡓,188
13,㰖,195
13,㠢,196
13,䝋,197
14,㳭,212
15,㓊,215
16,㫊,217
21,㫈,226
21,䄩,227
21,㵊,228
22,㤜,341
22,䇍,342
24,䪷,368
24,䋧,369
26,䞍,377
26,㷓,378
27,㸹,382
27,䱖,383
28,㐚,384
28,㾹,385
29,㕀,387
31,㯠,392
32,䅬,399
33,䄩,401
33,㵊,402
34,㘨,461
35,㫈,467
35,㵊,468
36,㪗,527
36,䇷,528
37,䇕,537
39,㺌,542
39,㬕,543
41,䕫,31
41,㯠,392
42,㓊,552
42,䓸,553
42,䣹,554
42,㤢,555
42,䝋,556
43,䓸,46
44,䝘,47
45,㰍,68
47,䓸,48
48,䓸,49
49,㓊,50
50,䓸,51
51,䲑,52
52,㺖,53
52,㾢,54
53,䓸,55
54,䗇,56
55,䓸,54
56,㚜,57
57,䉎,58
57,㶜,59
58,㼗,60
59,䬌,62
60,䑾,61
60,䧂,59
61,䬌,62
61,䕕,59
62,㤜,63
62,䇍,64
63,㢆,65
64,㢆,67
65,䴢,66
67,㞓,63
68,㛭,69
70,㰈,71
71,㰈,72
71,㘜,72
72,㰈,71
73,䨑,74
74,䨑,75
75,䨑,76
76,䨑,77
78,㑲,81
78,䦳,82
